ano,semana,casos
2000,1,14
2000,2,28
2000,3,26
2000,4,27
2000,5,59
2000,6,35
2000,7,33
2000,8,22
2000,9,17
2000,10,13
2000,11,30
2000,12,21
2000,13,27
2000,14,18
2000,15,27
2000,16,18
2000,17,15
2000,18,44
2000,19,85
2000,20,119
2000,21,90
2000,22,145
2000,23,402
2000,24,572
2000,25,428
2000,26,334
2000,27,216
2000,28,161
2000,29,150
2000,30,123
2000,31,138
2000,32,175
2000,33,109
2000,34,121
2000,35,88
2000,36,59
2000,37,67
2000,38,82
2000,39,65
2000,40,58
2000,41,74
2000,42,101
2000,43,111
2000,44,106
2000,45,131
2000,46,115
2000,47,121
2000,48,113
2000,49,122
2000,50,119
2000,51,101
2000,52,82
2001,1,328
2001,2,515
2001,3,1088
2001,4,1320
2001,5,1051
2001,6,863
2001,7,799
2001,8,1001
2001,9,1091
2001,10,1228
2001,11,1261
2001,12,1052
2001,13,1093
2001,14,1182
2001,15,1306
2001,16,1590
2001,17,1366
2001,18,1079
2001,19,866
2001,20,795
2001,21,509
2001,22,254
2001,23,208
2001,24,200
2001,25,111
2001,26,67
2001,27,71
2001,28,34
2001,29,47
2001,30,37
2001,31,33
2001,32,31
2001,33,32
2001,34,26
2001,35,17
2001,36,20
2001,37,35
2001,38,25
2001,39,24
2001,40,27
2001,41,22
2001,42,19
2001,43,31
2001,44,38
2001,45,75
2001,46,110
2001,47,78
2001,48,58
2001,49,84
2001,50,124
2001,51,89
2001,52,116
2002,1,152
2002,2,200
2002,3,243
2002,4,314
2002,5,447
2002,6,443
2002,7,457
2002,8,383
2002,9,325
2002,10,261
2002,11,304
2002,12,280
2002,13,454
2002,14,312
2002,15,226
2002,16,237
2002,17,109
2002,18,121
2002,19,117
2002,20,117
2002,21,109
2002,22,94
2002,23,97
2002,24,106
2002,25,90
2002,26,76
2002,27,97
2002,28,59
2002,29,69
2002,30,51
2002,31,44
2002,32,46
2002,33,34
2002,34,71
2002,35,27
2002,36,47
2002,37,38
2002,38,42
2002,39,49
2002,40,42
2002,41,60
2002,42,88
2002,43,119
2002,44,81
2002,45,76
2002,46,89
2002,47,132
2002,48,179
2002,49,178
2002,50,149
2002,51,99
2002,52,46
2003,1,54
2003,2,65
2003,3,43
2003,4,65
2003,5,54
2003,6,70
2003,7,69
2003,8,63
2003,9,109
2003,10,76
2003,11,84
2003,12,86
2003,13,94
2003,14,142
2003,15,171
2003,16,195
2003,17,210
2003,18,250
2003,19,201
2003,20,145
2003,21,73
2003,22,65
2003,23,113
2003,24,76
2003,25,61
2003,26,45
2003,27,46
2003,28,30
2003,29,25
2003,30,20
2003,31,12
2003,32,22
2003,33,24
2003,34,20
2003,35,11
2003,36,19
2003,37,20
2003,38,27
2003,39,17
2003,40,15
2003,41,16
2003,42,23
2003,43,20
2003,44,27
2003,45,24
2003,46,36
2003,47,37
2003,48,27
2003,49,39
2003,50,29
2003,51,32
2003,52,25
2003,53,27
2004,1,73
2004,2,179
2004,3,440
2004,4,390
2004,5,258
2004,6,210
2004,7,219
2004,8,193
2004,9,156
2004,10,120
2004,11,176
2004,12,168
2004,13,205
2004,14,289
2004,15,442
2004,16,434
2004,17,374
2004,18,253
2004,19,223
2004,20,243
2004,21,145
2004,22,138
2004,23,97
2004,24,78
2004,25,59
2004,26,80
2004,27,85
2004,28,74
2004,29,44
2004,30,44
2004,31,75
2004,32,71
2004,33,70
2004,34,67
2004,35,76
2004,36,77
2004,37,86
2004,38,71
2004,39,118
2004,40,114
2004,41,132
2004,42,134
2004,43,122
2004,44,119
2004,45,145
2004,46,177
2004,47,181
2004,48,323
2004,49,440
2004,50,473
2004,51,321
2004,52,266
2005,1,241
2005,2,235
2005,3,217
2005,4,104
2005,5,88
2005,6,63
2005,7,71
2005,8,69
2005,9,110
2005,10,119
2005,11,173
2005,12,152
2005,13,170
2005,14,258
2005,15,415
2005,16,348
2005,17,260
2005,18,213
2005,19,182
2005,20,124
2005,21,76
2005,22,74
2005,23,91
2005,24,102
2005,25,82
2005,26,81
2005,27,101
2005,28,95
2005,29,52
2005,30,46
2005,31,61
2005,32,45
2005,33,52
2005,34,36
2005,35,19
2005,36,38
2005,37,22
2005,38,27
2005,39,38
2005,40,43
2005,41,67
2005,42,58
2005,43,49
2005,44,80
2005,45,58
2005,46,99
2005,47,80
2005,48,75
2005,49,83
2005,50,73
2005,51,58
2005,52,67
2006,1,115
2006,2,107
2006,3,98
2006,4,140
2006,5,191
2006,6,181
2006,7,167
2006,8,145
2006,9,142
2006,10,123
2006,11,105
2006,12,93
2006,13,78
2006,14,68
2006,15,50
2006,16,91
2006,17,72
2006,18,161
2006,19,152
2006,20,145
2006,21,159
2006,22,146
2006,23,91
2006,24,58
2006,25,49
2006,26,20
2006,27,35
2006,28,42
2006,29,34
2006,30,28
2006,31,30
2006,32,38
2006,33,33
2006,34,64
2006,35,45
2006,36,44
2006,37,57
2006,38,58
2006,39,60
2006,40,35
2006,41,59
2006,42,59
2006,43,48
2006,44,47
2006,45,44
2006,46,34
2006,47,47
2006,48,32
2006,49,22
2006,50,38
2006,51,22
2006,52,20
2007,1,106
2007,2,117
2007,3,103
2007,4,182
2007,5,228
2007,6,379
2007,7,600
2007,8,631
2007,9,382
2007,10,295
2007,11,226
2007,12,204
2007,13,141
2007,14,110
2007,15,118
2007,16,139
2007,17,310
2007,18,196
2007,19,157
2007,20,102
2007,21,67
2007,22,65
2007,23,54
2007,24,37
2007,25,25
2007,26,18
2007,27,28
2007,28,29
2007,29,24
2007,30,24
2007,31,48
2007,32,35
2007,33,32
2007,34,21
2007,35,24
2007,36,37
2007,37,23
2007,38,29
2007,39,30
2007,40,33
2007,41,49
2007,42,54
2007,43,58
2007,44,51
2007,45,87
2007,46,59
2007,47,79
2007,48,78
2007,49,113
2007,50,107
2007,51,89
2007,52,111
2008,1,173
2008,2,185
2008,3,197
2008,4,233
2008,5,269
2008,6,261
2008,7,360
2008,8,442
2008,9,474
2008,10,377
2008,11,322
2008,12,199
2008,13,264
2008,14,245
2008,15,186
2008,16,198
2008,17,168
2008,18,148
2008,19,177
2008,20,180
2008,21,206
2008,22,238
2008,23,237
2008,24,223
2008,25,137
2008,26,98
2008,27,75
2008,28,78
2008,29,58
2008,30,79
2008,31,51
2008,32,31
2008,33,61
2008,34,65
2008,35,91
2008,36,150
2008,37,125
2008,38,126
2008,39,129
2008,40,219
2008,41,344
2008,42,460
2008,43,440
2008,44,407
2008,45,486
2008,46,469
2008,47,318
2008,48,386
2008,49,383
2008,50,387
2008,51,405
2008,52,424
2008,53,380
2009,1,513
2009,2,514
2009,3,488
2009,4,500
2009,5,584
2009,6,693
2009,7,645
2009,8,534
2009,9,643
2009,10,534
2009,11,494
2009,12,575
2009,13,441
2009,14,384
2009,15,468
2009,16,424
2009,17,287
2009,18,329
2009,19,437
2009,20,379
2009,21,300
2009,22,142
2009,23,136
2009,24,145
2009,25,117
2009,26,96
2009,27,100
2009,28,57
2009,29,42
2009,30,60
2009,31,58
2009,32,66
2009,33,79
2009,34,45
2009,35,57
2009,36,68
2009,37,79
2009,38,57
2009,39,55
2009,40,52
2009,41,86
2009,42,89
2009,43,124
2009,44,112
2009,45,133
2009,46,226
2009,47,207
2009,48,210
