departamento,ano,casos
LORETO,2001,510
UCAYALI,2002,2977
LAMBAYEQUE,2003,79
TUMBES,2004,1552
TUMBES,2005,183
HUANUCO,2006,128
PIURA,2006,865
MADRE DE DIOS,2007,314
PASCO,2007,2
AMAZONAS,2008,648
LORETO,2008,7232
AMAZONAS,2009,158
LAMBAYEQUE,2009,679
LIMA,2009,235
PASCO,2012,80
UCAYALI,2012,11056
ANCASH,2012,1068
AMAZONAS,2013,247
JUNIN,2014,508
AMAZONAS,2016,90
LA LIBERTAD,2016,4650
LAMBAYEQUE,2016,1662
UCAYALI,2016,1007
ANCASH,2017,1720
PASCO,2017,4
AMAZONAS,2017,93
TUMBES,2019,508
UCAYALI,2020,9781
PIURA,2020,125
PASCO,2021,616
ANCASH,2021,28
PUNO,2021,51
AYACUCHO,2022,782
HUANUCO,2022,1580
AYACUCHO,2023,695
ICA,2023,16889
PUNO,2023,267
UCAYALI,2023,8174
SAN MARTIN,2000,218
MADRE DE DIOS,2000,21
AMAZONAS,2001,692
PIURA,2002,101
SAN MARTIN,2003,46
TUMBES,2003,50
PASCO,2003,1
HUANUCO,2004,356
JUNIN,2004,192
UCAYALI,2004,1413
ANCASH,2004,8
LAMBAYEQUE,2005,804
PASCO,2005,3
TUMBES,2007,79
ANCASH,2007,8
LIMA,2007,91
MADRE DE DIOS,2008,45
TUMBES,2008,51
LA LIBERTAD,2009,134
MADRE DE DIOS,2010,2952
ANCASH,2013,454
PASCO,2013,56
LA LIBERTAD,2013,23
LA LIBERTAD,2014,63
CUSCO,2015,248
LIMA,2015,9
LORETO,2016,1686
TUMBES,2016,1089
CUSCO,2017,537
JUNIN,2017,220
MADRE DE DIOS,2019,7398
AYACUCHO,2019,95
CUSCO,2019,54
PASCO,2019,36
CUSCO,2020,2499
ICA,2020,7144
MADRE DE DIOS,2021,1333
ANCASH,2022,2145
SAN MARTIN,2022,4270
UCAYALI,2022,4842
LA LIBERTAD,2022,162
CUSCO,2023,2630
PASCO,2023,1156
LAMBAYEQUE,2001,813
UCAYALI,2001,682
LA LIBERTAD,2001,5718
JUNIN,2001,48
HUANUCO,2002,132
PIURA,2003,1726
UCAYALI,2003,182
PASCO,2004,6
LA LIBERTAD,2004,263
AMAZONAS,2005,409
LIMA,2005,443
JUNIN,2006,189
LAMBAYEQUE,2006,77
SAN MARTIN,2007,677
LAMBAYEQUE,2007,656
UCAYALI,2008,931
LA LIBERTAD,2008,267
HUANUCO,2008,110
PASCO,2008,30
HUANUCO,2009,261
LORETO,2009,3782
PIURA,2009,4033
UCAYALI,2009,1072
JUNIN,2009,245
AMAZONAS,2010,273
LAMBAYEQUE,2010,291
ANCASH,2010,50
PIURA,2011,183
UCAYALI,2011,1770
LAMBAYEQUE,2011,10
LIMA,2012,314
LA LIBERTAD,2012,104
JUNIN,2013,781
SAN MARTIN,2013,1207
TUMBES,2013,250
PUNO,2013,2
CAJAMARCA,2014,295
PIURA,2014,2675
HUANUCO,2015,307
AYACUCHO,2015,268
LORETO,2017,1089
AMAZONAS,2018,109
HUANUCO,2018,25
LORETO,2018,1833
SAN MARTIN,2018,98
PASCO,2018,3
MOQUEGUA,2018,1
CAJAMARCA,2019,398
LAMBAYEQUE,2019,770
AYACUCHO,2020,1583
ICA,2021,4208
UCAYALI,2021,3140
LIMA,2021,1190
AREQUIPA,2021,7
LORETO,2022,8926
PUNO,2022,25
LORETO,2023,6582
MADRE DE DIOS,2023,1853
UCAYALI,2000,97
PIURA,2001,11713
JUNIN,2002,207
TUMBES,2002,13
LORETO,2003,784
HUANUCO,2003,107
CAJAMARCA,2004,383
LAMBAYEQUE,2004,1868
PIURA,2005,51
JUNIN,2005,114
CUSCO,2005,2
TUMBES,2006,243
AMAZONAS,2006,35
CAJAMARCA,2007,125
JUNIN,2007,378
HUANUCO,2007,28
PIURA,2008,1702
SAN MARTIN,2009,450
LORETO,2010,1322
SAN MARTIN,2010,307
TUMBES,2010,1177
LORETO,2012,4382
AYACUCHO,2013,1
LAMBAYEQUE,2013,25
PUNO,2014,13
LAMBAYEQUE,2014,147
LAMBAYEQUE,2015,1103
MADRE DE DIOS,2016,468
PIURA,2016,7610
SAN MARTIN,2016,335
AYACUCHO,2017,1657
ICA,2017,4384
MADRE DE DIOS,2017,565
CALLAO,2017,5
AYACUCHO,2018,202
CUSCO,2018,79
ICA,2018,127
MADRE DE DIOS,2018,1234
LAMBAYEQUE,2018,4
CAJAMARCA,2018,6
LORETO,2019,2547
SAN MARTIN,2019,1969
UCAYALI,2019,213
JUNIN,2020,3738
TUMBES,2020,3093
LA LIBERTAD,2020,390
LA LIBERTAD,2021,262
CAJAMARCA,2022,3639
JUNIN,2022,4157
LAMBAYEQUE,2022,2386
PIURA,2022,12151
CAJAMARCA,2023,7451
LIMA,2023,30735
ANCASH,2023,11658
AMAZONAS,2000,341
LIMA,2001,2
LAMBAYEQUE,2002,45
SAN MARTIN,2002,42
CUSCO,2002,2
AMAZONAS,2003,143
SAN MARTIN,2004,577
LORETO,2005,1772
MADRE DE DIOS,2005,85
