departamento,aniomes,t2m,rh2m,prec
PIURA,200001,26.17,59.69,0.21
PIURA,200002,27.08,60.22,0.57
PIURA,200003,27.18,61.11,0.98
PIURA,200004,26.76,62.75,1.09
PIURA,200005,25.39,61.42,0.24
PIURA,200006,23.98,63.38,0.09
PIURA,200007,22.99,64.58,0.04
PIURA,200008,23.39,63.2,0.03
PIURA,200009,23.6,61.44,0.15
PIURA,200010,24.23,59.43,0.04
PIURA,200011,23.76,57.93,0.01
PIURA,200012,25.44,62.61,1.03
PIURA,200101,26.53,60.36,0.24
PIURA,200102,27.44,61.5,0.78
PIURA,200103,26.68,70.59,4.8
PIURA,200104,27.1,63.66,0.89
PIURA,200105,25.24,62.67,0.13
PIURA,200106,23.72,65.59,0.01
PIURA,200107,23.25,66.04,0.03
PIURA,200108,22.97,64.54,0.01
PIURA,200109,22.79,62.13,0
PIURA,200110,23.08,62.12,0.28
PIURA,200111,24.18,61.29,0.17
PIURA,200112,25.32,60.71,0.32
PIURA,200201,26.56,58.2,0.12
PIURA,200202,27.89,61.94,0.93
PIURA,200203,28.18,66.64,2.29
PIURA,200204,26.7,67.9,1.72
PIURA,200205,26.73,62.39,0.08
PIURA,200206,24.43,63.84,0.01
PIURA,200207,23.66,64.15,0.01
PIURA,200208,23.71,64.25,0.01
PIURA,200209,24.04,62.02,0.01
PIURA,200210,24.78,61.45,0.17
PIURA,200211,25.69,60.91,0.28
PIURA,200212,26.91,60.59,0.31
PIURA,200301,27.55,60.82,0.32
PIURA,200302,28.34,60.64,0.58
PIURA,200303,28.33,58.48,1
PIURA,200304,27.27,58.26,0.42
PIURA,200305,25.82,60.39,0.06
PIURA,200306,24.07,63.68,0.11
PIURA,200307,23.22,64.01,0.03
PIURA,200308,23.56,63.5,0
PIURA,200309,23.32,61.6,0.03
PIURA,200310,24.54,60.28,0.02
PIURA,200311,24.95,60.57,0.21
PIURA,200312,26.41,60.37,0.34
PIURA,200401,26.56,61.1,1.26
PIURA,200402,28.01,61.73,0.48
PIURA,200403,28.55,57.71,0.39
PIURA,200404,27.08,60.17,0.56
PIURA,200405,25.21,61.81,0.21
PIURA,200406,23.47,64.8,0.01
PIURA,200407,23.14,63.17,0.04
PIURA,200408,23.03,63.2,0
PIURA,200409,23.82,62.53,0.07
PIURA,200410,24.16,61.32,0.09
PIURA,200411,25.14,61.1,0.23
PIURA,200412,25.85,60.9,0.47
PIURA,200501,27.34,58.81,0.01
PIURA,200502,27.92,58.98,0.03
PIURA,200503,27.56,60.14,0.71
PIURA,200504,27.91,56.96,0.06
PIURA,200505,25.25,61.98,0.05
PIURA,200506,24.06,63.27,0.03
PIURA,200507,23.07,64.61,0
PIURA,200508,22.97,62.78,0
PIURA,200509,22.99,61.74,0
PIURA,200510,23.05,60.47,0.08
PIURA,200511,23.51,59.67,0.04
PIURA,200512,25.2,60.21,0.02
PIURA,200601,27.01,59.56,0.2
PIURA,200602,27.99,63.02,1.19
PIURA,200603,28.11,58.58,0.33
PIURA,200604,27.21,56.02,0.03
PIURA,200605,25.24,59.58,0.01
PIURA,200606,24.17,64.05,0.07
PIURA,200607,23.91,64.85,0.04
PIURA,200608,24.28,62.71,0.01
PIURA,200609,24.66,59.39,0
PIURA,200610,24.8,58.37,0
PIURA,200611,25.08,59.62,0.08
PIURA,200612,26.2,59.4,0.03
PIURA,200701,27.81,61.26,0.31
PIURA,200702,28.17,58.63,0
PIURA,200703,28.18,58.33,0.13
PIURA,200704,27.46,55.87,0.11
PIURA,200705,24.96,58.46,0.01
PIURA,200706,23.47,63.18,0.01
PIURA,200707,22.87,63.64,0.02
PIURA,200708,22.04,62.86,0.15
PIURA,200709,22.46,61.83,0.04
PIURA,200710,22.76,60.76,0.1
PIURA,200711,24.02,60.1,0.17
PIURA,200712,24.53,60.52,0.11
PIURA,200801,26.55,61.5,0.58
PIURA,200802,26.65,66.44,3.76
PIURA,200803,27.27,66.89,1.9
PIURA,200804,26.57,60.53,0.73
PIURA,200805,25.15,62.38,0.13
PIURA,200806,24.14,64.71,0.1
PIURA,200807,23.85,64.37,0.13
PIURA,200808,23.82,62.97,0.1
PIURA,200809,24.24,60.86,0.03
PIURA,200810,24.17,59.66,0.1
PIURA,200811,24.43,59.07,0.06
PIURA,200812,25.27,59.31,0
PIURA,200901,26.74,61.13,0.38
PIURA,200902,27.9,60.38,0.3
PIURA,200903,27.77,59.04,0.62
PIURA,200904,27.72,56.19,0.08
PIURA,200905,26,59.41,0.05
PIURA,200906,24.97,62.34,0.04
PIURA,200907,24.19,63.32,0.01
PIURA,200908,24.03,61.3,0.06
PIURA,200909,24.07,60.6,0.04
PIURA,200910,24.49,59.73,0.08
PIURA,200911,25.18,58.83,0.15
PIURA,200912,26.43,60.69,0.23
PIURA,201001,27.7,60.59,0.1
PIURA,201002,28.29,63.26,1.58
PIURA,201003,28.75,58.69,0.63
PIURA,201004,27.81,58.67,0.33
PIURA,201005,26.29,59.59,0.06
PIURA,201006,24.21,62.49,0.07
PIURA,201007,22.83,62.47,0
PIURA,201008,22.74,61.72,0.01
PIURA,201009,23,59.87,0.09
PIURA,201010,23.1,58.78,0.2
PIURA,201011,23.45,58.09,0.11
PIURA,201012,24.93,57.95,0.11
