departamento,provincia,distrito,ubigeo
AMAZONAS,BAGUA,ARAMANGO,010202
AMAZONAS,BAGUA,BAGUA,010201
AMAZONAS,BAGUA,COPALLIN,010203
AMAZONAS,BAGUA,EL PARCO,010204
AMAZONAS,BAGUA,IMAZA,010205
AMAZONAS,BAGUA,LA PECA,010206
AMAZONAS,BONGARA,CHURUJA,010303
AMAZONAS,BONGARA,FLORIDA,010306
AMAZONAS,BONGARA,JAZAN,010307
AMAZONAS,BONGARA,SAN CARLOS,010309
AMAZONAS,BONGARA,YAMBRASBAMBA,010312
AMAZONAS,CHACHAPOYAS,BALSAS,010103
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,010101
AMAZONAS,CONDORCANQUI,EL CENEPA,010402
AMAZONAS,CONDORCANQUI,NIEVA,010401
AMAZONAS,CONDORCANQUI,RIO SANTIAGO,010403
AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,010605
AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,010612
AMAZONAS,UTCUBAMBA,BAGUA GRANDE,010701
AMAZONAS,UTCUBAMBA,CAJARURO,010702
AMAZONAS,UTCUBAMBA,CUMBA,010703
AMAZONAS,UTCUBAMBA,EL MILAGRO,010704
AMAZONAS,UTCUBAMBA,JAMALCA,010705
AMAZONAS,UTCUBAMBA,LONYA GRANDE,010706
AMAZONAS,UTCUBAMBA,YAMON,010707
ANCASH,CASMA,BUENA VISTA ALTA,020802
ANCASH,CASMA,CASMA,020801
ANCASH,CASMA,COMANDANTE NOEL,020803
ANCASH,CASMA,YAUTAN,020804
ANCASH,HUARAZ,HUARAZ,020101
ANCASH,HUARAZ,PARIACOTO,020110
ANCASH,HUARMEY,CULEBRAS,021103
ANCASH,HUARMEY,HUARMEY,021101
ANCASH,HUAYLAS,HUALLANCA,021202
ANCASH,PALLASCA,CABANA,021501
ANCASH,SANTA,CHIMBOTE,021801
ANCASH,SANTA,COISHCO,021803
ANCASH,SANTA,MORO,021805
ANCASH,SANTA,NEPE�A,021806
ANCASH,SANTA,NUEVO CHIMBOTE,021809
ANCASH,SANTA,SAMANCO,021807
ANCASH,SANTA,SANTA,021808
APURIMAC,ABANCAY,ABANCAY,030101
APURIMAC,ABANCAY,CHACOCHE,030102
APURIMAC,AYMARAES,COLCABAMBA,030405
APURIMAC,AYMARAES,TINTAY,030415
AREQUIPA,AREQUIPA,AREQUIPA,040101
AREQUIPA,CARAVELI,ACARI,040302
