departamento,casos_2024,severidad_pct,tendencia,puntaje_riesgo,nivel
PIURA,32246,0.4,0.4,85.5,Crítico
LIMA,87864,0.2,2.9,84.0,Crítico
LA LIBERTAD,49931,0.2,1.9,81.2,Crítico
LAMBAYEQUE,9305,0.6,0.3,80.3,Crítico
LORETO,7996,0.5,1.2,80.3,Crítico
SAN MARTIN,10870,0.5,1.6,78.6,Crítico
ICA,30407,0.3,1.8,78.6,Crítico
ANCASH,18789,0.2,1.6,74.2,Alto
TUMBES,5267,0.4,0.4,73.5,Alto
UCAYALI,740,0.7,0.1,72.4,Alto
MADRE DE DIOS,505,0.8,0.3,72.3,Alto
JUNIN,3331,0.4,0.9,69.3,Alto
CALLAO,5756,0.3,2.4,65.8,Alto
CAJAMARCA,2850,0.2,0.4,64.0,Alto
AMAZONAS,1517,0.3,0.5,62.5,Alto
CUSCO,2104,0.2,0.8,62.5,Alto
PASCO,683,0.6,0.6,61.6,Alto
HUANUCO,775,0.3,0.3,59.7,Alto
AYACUCHO,362,0.2,0.5,53.2,Alto
PUNO,201,0.0,0.8,38.2,Medio
AREQUIPA,21,0.0,2.0,20.4,Bajo
APURIMAC,11,0.0,2.0,15.5,Bajo
MOQUEGUA,0,0.0,0.0,0.0,Bajo
